Neuron,shift,rsquared,f,rhv,lhv,rep,lep,rha,lha,rhp,lhp,rev,lev,rea,lea
SB21Oct11,120,0.767650546798416,fr ~ 1 + rhv + rep,0.361256785345391,NaN,4.92951566741288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB21dec11,60,0.701009975952107,fr ~ 1 + lep,NaN,NaN,NaN,-5.63394197665017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB22may12,70,0.637053900907733,fr ~ 1 + rhv + lhv,0.346572732474332,-0.418473294642153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SE17Oct11,150,0.582139689791304,fr ~ 1 + rhv,0.557561717327324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB10Oct11,170,0.58085049796592,fr ~ 1 + rhp + rhv,1.00348095119241,NaN,NaN,NaN,NaN,NaN,1.14866623799162,NaN,NaN,NaN,NaN,NaN
UC22may12,80,0.568645002783019,fr ~ 1 + rhv + lhv,0.250120359236121,-0.329277718777319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC23Sep11,130,0.473293321778373,fr ~ 1 + lhv,NaN,-0.78303470555971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UBA4jun12,90,0.459236267339986,fr ~ 1 + rhv + lhv,0.282923294723654,-0.299464202653407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD09Jan12,130,0.405989965620757,fr ~ 1 + lhv,NaN,-1.31399243418316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB23mar12,80,0.399051714131338,fr ~ 1 + lhv + rep,NaN,-0.338730129505393,0.837132728031738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC12Dec11,70,0.398608509093448,fr ~ 1 + lhv,NaN,-0.598085545400967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB16feb12,90,0.397212694939709,fr ~ 1 + lhv,NaN,-0.566863960295692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB05jan12,60,0.38675376968362,fr ~ 1 + lhp + lhv + rha,NaN,-0.21649731898632,NaN,NaN,0.0361540959273272,NaN,NaN,-0.444634068552485,NaN,NaN,NaN,NaN
SB15Sep11,110,0.370896570689578,fr ~ 1 + rhv,0.28796304299882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB28sep11,20,0.350291148799875,fr ~ 1 + rhp + rhv + rep,0.282516772090461,NaN,-0.858549254086393,NaN,NaN,NaN,0.456748900642452,NaN,NaN,NaN,NaN,NaN
SD03Nov11,160,0.339791600016041,fr ~ 1 + lhv,NaN,-0.549601336434296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC18Oct11,40,0.33025173260431,fr ~ 1 + rhv + lep,0.319945535963976,NaN,NaN,1.30589773008629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB16Sep11,70,0.324102018630678,fr ~ 1 + lhv,NaN,-0.537958106811976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UD16sep11,130,0.321461032403902,fr ~ 1 + lhv,NaN,-0.454214322391307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB04nov11,70,0.312820452506991,fr ~ 1 + rhv + lhv,0.273971663950501,-0.246428681092214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UBB4jun12,130,0.302756619019859,fr ~ 1 + rhv + lhv,0.25468122644174,0.247403233887521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB18Oct11,70,0.302018803691503,fr ~ 1 + rhv,0.460991517447389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB26mar12,80,0.298858991813672,fr ~ 1 + lhv,NaN,-0.324360208357194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UE31oct11,40,0.291433016276487,fr ~ 1 + rhv + lhv,0.173892889553482,-0.322055041909345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC21Dec11,130,0.287441692729723,fr ~ 1 + lhv,NaN,-0.536987261643822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC07Oct11,80,0.280388359376195,fr ~ 1 + lhp + lhv,NaN,-0.357010129379503,NaN,NaN,NaN,NaN,NaN,0.325667132367321,NaN,NaN,NaN,NaN
SD13Jan12,190,0.265433951857558,fr ~ 1 + lhv,NaN,-0.958754690020821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UC17feb12,100,0.258294249296494,fr ~ 1 + lhv + rep,NaN,-0.312610964576688,0.769412028845888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC16Sep11,60,0.256639778906542,fr ~ 1 + lhv + lep,NaN,-0.435998884332378,NaN,0.895909671691312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB24oct11,50,0.239108384291324,fr ~ 1 + rhv,0.275059832390839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UC03jan12,110,0.234822701025634,fr ~ 1 + lhv + rep,NaN,-0.327542465402975,0.966557034174436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB14may12,100,0.226476670334474,fr ~ 1 + rhv + lhv,0.199613035124832,-0.104883585548472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC19Oct11,70,0.224184790796567,fr ~ 1 + rhv,0.369125962297946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD30Sep11,200,0.217610318963147,fr ~ 1 + rhp + rhv,0.819114128058082,NaN,NaN,NaN,NaN,NaN,1.44946020211207,NaN,NaN,NaN,NaN,NaN
SC28Nov11,110,0.208933459471012,fr ~ 1 + lhv + lep,NaN,-0.334498321657265,NaN,1.35769268950677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC14Oct11,180,0.202366884598952,fr ~ 1 + rhv,0.20148193859828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD04Jan12,60,0.202250512200323,fr ~ 1 + rhv,0.286849932156711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC19Jan12,190,0.196289526921735,fr ~ 1 + lhv,NaN,-0.23348181572789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB28Sep11,50,0.194623403886536,fr ~ 1 + rhv + lep,0.288575479478203,NaN,NaN,1.31594330354425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD21Sep11,60,0.177014339497159,fr ~ 1 + rhv + lhv,0.244483245783308,-0.391259719527191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB05Oct11,80,0.169699810115872,fr ~ 1 + rhv + lhv,0.207378105880438,-0.309354239596126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB10Jan12,90,0.166801117976395,fr ~ 1 + lhv + lep,NaN,-0.452234821142224,NaN,1.34864367276437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB30Sep11,130,0.160203320691892,fr ~ 1 + rhv,0.284944751090198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB19Jan12,120,0.157344133456144,fr ~ 1 + rhv,0.199981336648674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD06Dec11,50,0.150172484130221,fr ~ 1 + rhv + lhv,0.17886662084542,-0.374084208766056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB04Nov11,90,0.14830457200797,fr ~ 1 + rhv + lhv,0.104316368724077,-0.182672752459213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB07oct11,80,0.143540534047646,fr ~ 1 + lhp + rhv,0.222911353033188,NaN,NaN,NaN,NaN,NaN,NaN,0.414849137832818,NaN,NaN,NaN,NaN
UB23feb12,50,0.130654826310571,fr ~ 1 + rhv,0.237135651799449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD28Sep11,130,0.0886986298777663,fr ~ 1 + rep,NaN,NaN,0.577507484887065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB11jan12,40,0.0598936178772242,fr ~ 1 + lhp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.510073993091271,NaN,NaN,NaN,NaN
SB07Oct11,200,0.0509287480504054,fr ~ 1 + rhv,0.211518892489247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC15Sep11,20,0,fr ~ 1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB14dec11,20,0,fr ~ 1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
